name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999,Circumaural,"[6,75]",FALSE,FALSE,Open,Silver / Brown
HP HyperX Cloud II,77,Circumaural,"[15,25]",TRUE,FALSE,Closed,Black / Red
Razer BlackShark V2 X,49.99,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",319.64,Circumaural,"[10,40]",TRUE,TRUE,Closed,Black
Logitech Pro X,98.49,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
SteelSeries Arctis 1,34.95,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Beyerdynamic DT 770 PRO,159,Circumaural,"[5,35]",FALSE,FALSE,Closed,Gray
Razer BlackShark V2 Pro (2023),198,Circumaural,"[12,28]",TRUE,TRUE,Closed,Black
Logitech G733,133.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Gray
HP HyperX Cloud,0,Circumaural,"[15,25]",TRUE,FALSE,Closed,Black / White
SteelSeries Arctis 1,74.89,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Corsair Virtuoso RGB,147.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,White
Sennheiser HD 820,1999.95,Circumaural,"[6,48]",FALSE,FALSE,Closed,Black
Logitech G432,36.5,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
Beyerdynamic DT990 Premium Limited-Edition,159,Circumaural,"[5,35]",FALSE,FALSE,Open,Black
Logitech G435,39.49,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Yellow
Corsair VOID RGB ELITE,74.99,Circumaural,"[20,30]",TRUE,TRUE,Closed,Black
Sony XM5,398,Circumaural,"[4,40]",TRUE,TRUE,Closed,Black
Astro A50 + Base Station,270.37,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Gold
SteelSeries Arctis Pro Wireless,429.99,Circumaural,"[10,40]",TRUE,TRUE,Closed,White
HP HyperX Cloud II,79.98,Circumaural,"[15,25]",TRUE,FALSE,Closed,Gunmetal
HP HyperX Cloud Stinger,19.88,Circumaural,"[18,23]",TRUE,FALSE,Closed,Black / Red
Sennheiser HD 560S,175,Circumaural,"[6,38]",FALSE,FALSE,Open,Black
Philips SHE7000WT/28,5.99,In Ear,"[8,23.5]",FALSE,FALSE,Closed,Pink / White
Razer Kraken Kitty,99.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Pink
Corsair VIRTUOSO RGB Wireless XT,208.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black / Silver
Corsair VOID RGB ELITE,79.99,Circumaural,"[20,30]",TRUE,TRUE,Closed,White
Final D8000,3799,Circumaural,,FALSE,FALSE,Closed,Black / Silver
Logitech PRO X 2 LIGHTSPEED,249.81,Circumaural,"[20,20]",TRUE,TRUE,Closed,White
MSI Immerse GH20,29.99,Circumaural,"[29,20]",TRUE,FALSE,Closed,Black
HP HyperX Cloud II,99.99,Circumaural,"[15,20]",TRUE,TRUE,Closed,Black / Red
SteelSeries Arctis Nova 7,159.99,Circumaural,"[20,22]",TRUE,TRUE,Closed,Black
Sennheiser HD 800 S,1379.23,Circumaural,"[4,51]",FALSE,FALSE,Open,Black / Silver
Audio-Technica ATH-M50x,149,Circumaural,"[15,28]",FALSE,FALSE,Closed,Black / Silver
Beyerdynamic DT 990 Pro 250,0,Circumaural,"[5,35]",FALSE,FALSE,Open,Black / Gray
HP HyperX Cloud Alpha,74.29,Circumaural,"[13,27]",TRUE,FALSE,Closed,Black / Red
Razer BlackShark V2 Pro,119.99,Circumaural,"[12,28]",TRUE,TRUE,Closed,Black
Razer Kraken V3 X,44.99,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black
Logitech Pro X,129.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Logitech G733,133.69,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Razer Barracuda Pro,217.74,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Corsair HS80 RGB,119.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black
Razer BlackShark V2,69.98,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black / Green
HiFiMAN HE1000,1999,Circumaural,"[8,65]",FALSE,FALSE,Open,Silver / Brown
SteelSeries Arctis Pro,221.12,Circumaural,"[10,40]",TRUE,TRUE,Closed,Black
HP HyperX Cloud Alpha,149,Circumaural,"[15,21]",TRUE,TRUE,Closed,Black / Red
Asus ROG Theta 7.1,299.99,Circumaural,"[20,40]",TRUE,FALSE,Closed,Black
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Green
Logitech G935,109.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Blue
Corsair HS65 SURROUND,49.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Razer NARI ESSENTIAL,0,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox ",349.99,Circumaural,"[10,40]",TRUE,TRUE,Closed,Black
Beyerdynamic DT1990 Pro,529,Circumaural,"[5,40]",FALSE,FALSE,Open,Black
DROP Drop + Sennheiser PC38X,180,Circumaural,"[10,30]",TRUE,FALSE,Open,Black
Sony WH1000XM4,348,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
SteelSeries Arctis 7,224.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
SteelSeries ARCTIS 7 2019 Edition,239.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Razer Barracuda X,99.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Razer BlackShark V2 Pro (2023),199.99,Circumaural,"[12,28]",TRUE,TRUE,Closed,White / Black
Razer Kraken V3 Pro,173.43,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Sennheiser HD600,309,Circumaural,"[12,39]",FALSE,FALSE,Open,Black
Philips SHP9500,0,Circumaural,"[12,35]",FALSE,FALSE,Open,Black
Astro Gaming A10,33.77,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
Logitech G435,67.8,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Blue
Logitech G535 LIGHTSPEED,112.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Blue
Sennheiser HD 650,350.55,Circumaural,"[10,39.5]",FALSE,FALSE,Open,Black
Corsair Virtuoso RGB SE,195.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black
Razer Barracuda X,79.98,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Gray
Logitech G332,33.98,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Red
Corsair HS70 PRO,73.98,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
HP HyperX Cloud III,89.99,Circumaural,"[10,21]",TRUE,FALSE,Closed,Black
Razer NARI ULTIMATE,89.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Green
SteelSeries Arctis 9,129.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Apple MD827LL/A,12.98,Earbud,,TRUE,FALSE,Closed,White
Logitech H110,16.77,Supra-aural,"[20,20]",TRUE,FALSE,Closed,Black / Silver
Logitech G PRO,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Asus ROG Delta,129.5,Circumaural,"[20,40]",TRUE,FALSE,Closed,Black / Silver
Sennheiser HD 660 S,0,Circumaural,"[10,41]",FALSE,FALSE,Open,Black
Razer Kraken X,0,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black
Beyerdynamic DT 900 Pro X,269,Circumaural,"[5,40]",FALSE,FALSE,Open,Black / Gray
Sony WH-1000XM3,293.52,Circumaural,"[4,40]",TRUE,TRUE,Closed,Silver
Turtle Beach Stealth 700 Gen 2 MAX,159.99,Circumaural,"[20,22]",TRUE,TRUE,Closed,Black / Silver
SteelSeries Arctis Pro + GameDAC,153,Circumaural,"[10,40]",TRUE,FALSE,Closed,Black
Corsair Virtuoso RGB,147.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black
Sennheiser HD 598,335.15,Circumaural,"[12,38.5]",FALSE,FALSE,Open,Brown
Audio-Technica ATH-M40x,99,Circumaural,"[15,24]",FALSE,FALSE,Closed,Black / Silver
Beyerdynamic DT 1770 PRO,529,Circumaural,"[5,40]",FALSE,FALSE,Closed,Black
Razer Kraken Ultimate,199.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Logitech G35,461.26,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Astro Gaming A40 TR + MixAmp Pro TR,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Gold
Audeze LCD-GX,0,Circumaural,"[10,50]",TRUE,FALSE,Open,Black / Red
HP HyperX Cloud Alpha S,135.84,Circumaural,"[13,27]",TRUE,FALSE,Closed,Black
Corsair HS65 SURROUND,34.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,White / Gray
Sennheiser ???HD 450BT Black,99.95,Circumaural,"[18,22]",TRUE,TRUE,Closed,Black / Gray
Razer Barracuda X (2021),99.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Corsair HS80 MAX WIRELESS,179.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,White / Gray
Audeze Maxwell for PlayStation 5,0,Circumaural,"[10,50]",TRUE,TRUE,Closed,Black / Blue
Astro A50 + Base Station,252.21,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Gray
Sony XM5,398,Circumaural,"[4,40]",TRUE,TRUE,Closed,Silver
HP HyperX Cloud Stinger Core - Wireless,65.26,Circumaural,"[10,21]",TRUE,TRUE,Closed,Black
Sennheiser DROP Massdrop x Sennheiser PC37X,0,Circumaural,"[15,28]",TRUE,FALSE,Open,Black
Audeze Mobius,799.68,Circumaural,"[10,50]",TRUE,TRUE,Closed,Blue / Black
Sades SA-708,15.34,Circumaural,,TRUE,FALSE,Closed,Black / Green
Sennheiser HD 599,142,Circumaural,"[12,38.5]",FALSE,FALSE,Open,White / Brown
Corsair HS80 MAX WIRELESS,159.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Gray / Black
Panasonic RP-HJE125-K,8.99,Earbud,,FALSE,FALSE,Closed,Black
Logitech G635,59.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
Sennheiser GAME ONE,93.99,Circumaural,"[15,28]",TRUE,FALSE,Open,Black / White
SteelSeries Arctis Nova 1,49.99,Circumaural,"[20,22]",TRUE,FALSE,Closed,White
HP HyperX Cloud Orbit S,179.99,Circumaural,"[10,50]",TRUE,FALSE,Closed,Black / Gray
Audio-Technica ATH-M20X,49,Circumaural,"[15,20]",FALSE,FALSE,Closed,Black / Silver
HP HyperX CloudX,49.99,Circumaural,"[15,25]",TRUE,FALSE,Closed,Black / Silver
SteelSeries Arctis 3 (2019),0,Circumaural,"[20,22]",TRUE,FALSE,Closed,Black
HiFiMAN SUNDARA,299,Circumaural,"[6,75]",FALSE,FALSE,Open,Black
Razer Kraken Kitty,106.14,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Green
Sennheiser GSP 300,38.22,Circumaural,"[15,26]",TRUE,FALSE,Closed,Black / Blue
HP HyperX Cloud III,89.99,Circumaural,"[10,21]",TRUE,FALSE,Closed,Black / Red
SteelSeries Arctis Nova 1,49,Circumaural,"[20,22]",TRUE,FALSE,Closed,Black
Moondrop ARIA,79.98,In Ear,"[5,36]",FALSE,FALSE,Closed,Black
SteelSeries Arctis 5,0,Circumaural,"[20,22]",TRUE,FALSE,Closed,Black
Razer Kraken Kitty V2 Pro,199,Circumaural,"[20,20]",TRUE,FALSE,Closed,Pink / Gray
Razer Kraken V3,79,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Asus ROG Delta White Edition,133.99,Circumaural,"[20,40]",TRUE,FALSE,Closed,White
Logitech G933 Artemis Spectrum,280,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Blue
SteelSeries Arctis Nova 7X,159.99,Circumaural,"[20,22]",TRUE,TRUE,Closed,Black / Green
JBL Quantum 100,39.95,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Logitech G335,58.75,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
NZXT Relay,79.98,Circumaural,"[20,40]",TRUE,FALSE,Closed,White / Black
Audeze Maxwell for Xbox Series X|S,329,Circumaural,"[10,50]",TRUE,TRUE,Closed,Black / Green
HP HyperX Cloud Core,65.58,Circumaural,"[10,21]",TRUE,TRUE,Closed,Black / Red
Corsair VOID ELITE SURROUND,79.99,Circumaural,"[20,30]",TRUE,FALSE,Closed,Black
Astro A10,59.9,Circumaural,"[20,20]",TRUE,FALSE,Closed,White / Blue
Corsair HS35,49.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
SteelSeries ARCTIS 5 (2019 Edition),0,Circumaural,"[20,22]",TRUE,FALSE,Closed,Black
Astro A40 + MIXAMP Pro,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Sennheiser GSP 600,72,Circumaural,"[10,30]",TRUE,FALSE,Closed,Black / Red
SteelSeries Arctis 7,224.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Black
Beyerdynamic MMX 300 (2nd Generation),249,Circumaural,"[5,35]",TRUE,FALSE,Closed,Black
HP HyperX Cloud Flight,79.98,Circumaural,"[15,23]",TRUE,TRUE,Closed,Black / Red
Adesso Xtream H5,16.8,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Beyerdynamic DT 700 PRO X,269,Circumaural,"[5,40]",FALSE,FALSE,Closed,Black
SteelSeries Arctis Prime,42,Circumaural,"[10,40]",TRUE,FALSE,Closed,Black
Sony INZONE H9,298,Circumaural,"[5,20]",TRUE,TRUE,Open,
Logitech G533,118.5,Circumaural,,TRUE,TRUE,Closed,Black
Asus TUF Gaming H3,39.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Gray
Audio-Technica ATH-M50xWH,0,Circumaural,"[15,28]",FALSE,FALSE,Closed,White
JBL Quantum One,209.95,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Philips Fidelio X2HR/00,143.99,Circumaural,"[5,40]",FALSE,FALSE,Open,Black
Bose QuietComfort 35 Series II,378,Circumaural,,TRUE,TRUE,Closed,Black
HP HyperX Cloud Alpha S,69.95,Circumaural,"[13,27]",TRUE,FALSE,Closed,Blue / Black
G.Skill RIPJAWS SV710,19.98,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Syba CM-5023,9.99,Supra-aural,"[20,20]",TRUE,FALSE,Closed,Black / Silver
Asus TUF Gaming H1,34.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Asus ROG Delta S EVA Edition,179.99,Circumaural,"[20,40]",TRUE,FALSE,Closed,Purple / Green
Cooler Master MH670,155.5,Circumaural,"[15,25]",TRUE,TRUE,Closed,Black
Corsair Virtuoso Pro,199.99,Circumaural,"[20,40]",TRUE,FALSE,Open,White
Sony MDR-7506,99.99,Circumaural,"[10,20]",FALSE,FALSE,Closed,Black
SteelSeries Arctis 7P,209.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Blue
Sennheiser HD 598 SE,589.99,Circumaural,"[12,38.5]",FALSE,FALSE,Open,Black
Sennheiser HD 558,399.96,Circumaural,"[15,28]",FALSE,FALSE,Open,Black / Silver
Audio-Technica ATH-AD2000X,592.27,Circumaural,"[5,45]",FALSE,FALSE,Open,Black
JBL Quantum 100,39.95,Circumaural,"[20,20]",TRUE,FALSE,Closed,White
Cyber Acoustics AC-104,11.99,Supra-aural,,TRUE,FALSE,Closed,Black
Corsair Virtuoso Pro,199.99,Circumaural,"[20,40]",TRUE,FALSE,Open,Black
Asus ROG STRIX FUSION 700,110,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black
Sony WH-1000XM3,0,Circumaural,"[4,40]",TRUE,TRUE,Closed,Black
Sennheiser HD 599 SE,0,Circumaural,"[12,38.5]",FALSE,FALSE,Open,Black / Silver
Beyerdynamic DT 990,179,Circumaural,"[5,35]",FALSE,FALSE,Open,Black / Silver
Razer BlackShark V2 Pro - Six Siege Special Edition,125.99,Circumaural,"[12,28]",TRUE,TRUE,Closed,White / Black
SteelSeries Arctis Pro,119.99,Circumaural,"[10,40]",TRUE,FALSE,Closed,Black
Corsair VOID PRO RGB (Black),0,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Turtle Beach Recon 50P,28.98,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
Corsair HS55,99.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White
Audio-Technica ATH-COR150WH,6.95,In Ear,"[20,25]",FALSE,FALSE,Closed,White
Turtle Beach Recon 50,24.95,Circumaural,,TRUE,FALSE,Closed,Black / Red
Audio-Technica ATH-M50xBT,329.98,Circumaural,"[15,28]",TRUE,TRUE,Closed,Black / Silver
Sennheiser GSP 670,188,Circumaural,"[10,23]",TRUE,TRUE,Closed,Black
Beyerdynamic TYGR 300 R,199,Circumaural,"[5,35]",FALSE,FALSE,Open,Black
Superlux HD668B,42.95,Circumaural,"[10,30]",FALSE,FALSE,Semi-open,Black
NZXT Relay,79.98,Circumaural,"[20,40]",TRUE,FALSE,Closed,Black / Purple
Beyerdynamic T1,999.99,Circumaural,"[5,50]",FALSE,FALSE,Semi-open,Black / Silver
Logitech G335,38.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,White / Blue
Adesso Xtream H4,13.88,Supra-aural,"[20,20]",TRUE,FALSE,Closed,Black
Logitech G930,289.97,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Red
Skullcandy Hesh 2 Unleashed,49.99,Circumaural,,TRUE,TRUE,Closed,Black / Silver
Koss KSC75,19.98,Supra-aural,,FALSE,FALSE,Closed,Black / Silver
Logitech H390,22.99,Supra-aural,"[20,20]",TRUE,FALSE,Closed,Black / Silver
Apple AirPods Pro,0,Earbud,,TRUE,TRUE,Closed,White
Audio-Technica ATH-G1WL,249,Circumaural,"[5,40]",TRUE,TRUE,Closed,Black
Razer Kraken BT - Hello Kitty and Friends Edition,89.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Pink / White
Audio-Technica ATH-R70X,323.49,Circumaural,"[5,40]",FALSE,FALSE,Open,Black
Corsair HS70 Bluetooth,99.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
HiFiMAN RE2000 24k Gold Edition,2000,In Ear,"[5,20]",FALSE,FALSE,Closed,Black / Gold
Skullcandy Crusher,0,Circumaural,"[20,20]",FALSE,TRUE,Closed,Black
ROCCAT Syn Pro Air,79.98,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
MSI IMMERSE GH,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
SteelSeries Arctis 3,0,Circumaural,"[20,22]",TRUE,FALSE,Closed,Black
Koss KPH7W,8.55,Supra-aural,,FALSE,FALSE,Closed,Black
Razer Kraken BT - Kitty Edition,0,Circumaural,"[20,20]",TRUE,TRUE,Closed,Pink / White
Anker Soundcore Life Q20+,69.98,Circumaural,"[16,40]",TRUE,TRUE,Closed,Black
Sennheiser HD 280 PRO,94.9,Circumaural,"[8,25]",FALSE,FALSE,Closed,Black
Asus TUF Gaming H1 Wireless,88.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,
Anker Soundcore Life Q30,79.98,Circumaural,"[16,40]",TRUE,TRUE,Closed,Black
Sennheiser M3AEBTXL,390.99,Circumaural,"[6,22]",FALSE,TRUE,Closed,White / Silver
HP HyperX Cloud Stinger Core,39.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Razer Kraken,107.01,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Razer Kraken 7.1 V2,0,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black / Green
Logitech G435,49.95,Circumaural,"[20,20]",TRUE,TRUE,Closed,Blue / Pink
Sennheiser HD 569,98,Circumaural,"[10,28]",TRUE,FALSE,Closed,Black
Razer Kraken V3 HyperSense,129.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Beyerdynamic MMX 2,9.99,Supra-aural,"[18,22]",TRUE,FALSE,Closed,Black
Sennheiser M3AEBTXL,0,Circumaural,"[6,22]",FALSE,TRUE,Closed,Black / Silver
ROCCAT Elo Air,84.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Astro A50 Xbox 4th Gen + Base Station,0,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Astro A40 TR,0,Circumaural,"[20,24]",TRUE,FALSE,Open,Black
HP HyperX Cloud Stinger Core - Wireless PS5/PS4,57.16,Circumaural,"[10,21]",TRUE,TRUE,Closed,White / Blue
Skullcandy Hesh 3,89.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Samsung Buds2 Pro,119.9,In Ear,,TRUE,TRUE,Closed,White
Corsair HS55,79.98,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Audio-Technica ATH-M50xSTS StreamSet USB,225,Circumaural,"[15,28]",TRUE,FALSE,Closed,Black / Silver
Cyber Acoustics ACM-500RB,13.98,Circumaural,,FALSE,FALSE,Closed,Black
Astro Gaming A10,44.3,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Green
HP HyperX Cloud Stinger - Xbox,29.99,Circumaural,"[18,23]",TRUE,FALSE,Closed,Black / Green
Beyerdynamic Amiron Home Tesla,399,Circumaural,"[5,40]",FALSE,FALSE,Open,Black / Silver
Corsair HS80 RGB Pink Elixir,0,Circumaural,"[20,40]",TRUE,TRUE,Closed,White / Pink
Sennheiser GAME ZERO,75.98,Circumaural,"[10,26]",TRUE,FALSE,Closed,Black / Red
Razer Barracuda,159.07,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Sennheiser RS 175,199.95,Circumaural,"[17,22]",FALSE,TRUE,Closed,Black / Silver
Logitech G935,109.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Rosewill Audiowave H9000,45.88,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black
Audio-Technica ATH-AD900x,0,Circumaural,"[5,35]",FALSE,FALSE,Open,Black
Cooler Master MH630,78.62,Circumaural,"[15,25]",TRUE,FALSE,Closed,Black
Audio-Technica ATH-M30x,69,Circumaural,"[15,22]",FALSE,FALSE,Closed,Black / Silver
ROCCAT Elo Air,84.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White
SteelSeries Arctis Nova 7P,148.99,Circumaural,"[20,22]",TRUE,TRUE,Closed,Black / Blue
Audio-Technica ATH-AD700X,118.72,Circumaural,"[5,30]",FALSE,FALSE,Open,Black
Sony INZONE H7,129.99,Circumaural,"[5,20]",TRUE,TRUE,Open,
Sony ZX110 (Black),16.05,Supra-aural,"[12,22]",TRUE,FALSE,Closed,Black
LucidSound LS35X,47.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Razer Barracuda X,99.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Pink / Gray
HiFiMAN Arya,899,Circumaural,"[8,65]",FALSE,FALSE,Open,Black
Microsoft Xbox WH,93.98,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Green
Corsair HS55 STEREO,53.02,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Logitech G433 (Black),0,Circumaural,"[20,20]",TRUE,FALSE,Open,Black
Corsair HS60 PRO SURROUND,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Gigabyte Aorus H1,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / White
Astro A38,22.59,Supra-aural,"[15,20]",TRUE,TRUE,Closed,White
Sennheiser GSP 500,64.95,Circumaural,"[10,30]",TRUE,FALSE,Semi-open,Black / Red
Philips SHP9600/00,64.98,Circumaural,"[12,35]",FALSE,FALSE,Open,Black / Copper
Logitech G733,139.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Purple
Astro A50 PS4 4th Gen + Base Station,0,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Razer Kaira Pro for Xbox- Halo Infinite,169.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Green / Black
Shure SE535-CL,442.28,In Ear,"[18,19]",FALSE,FALSE,Closed,Brown
SteelSeries Arctis 3,0,Circumaural,"[20,22]",TRUE,FALSE,Closed,White
Gigabyte Aorus H5,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Orange
HiFiMAN HE400SE,109,Circumaural,"[20,20]",FALSE,FALSE,Open,Black / Silver
Corsair HS60 HAPTIC,100.53,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Gray
Logitech Pro X,199.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Samsung Buds2 Pro,176.03,In Ear,,TRUE,TRUE,Closed,Purple
Yamaha EPH-20PI,4.99,In Ear,"[20,21]",FALSE,FALSE,Closed,Black / Pink
Bose QC35,0,Circumaural,,TRUE,TRUE,Closed,Black
DROP Drop + Sennheiser PC38X,0,Circumaural,"[10,30]",TRUE,FALSE,Open,Black / Yellow
HP HyperX Cloud MIX,159.5,Circumaural,"[10,40]",TRUE,TRUE,Closed,Black / Silver
Logitech G430,159.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
Astro Gaming A10,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Red
MSI IMMERSE GH,29.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Red
Cyber Acoustics ACM-70B,0,Supra-aural,"[20,20]",FALSE,FALSE,Closed,Black
EPOS H6PRO,99.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
HP HyperX Cloud Core w/7.1 Dongle,58.9,Circumaural,"[15,25]",TRUE,FALSE,Closed,
SteelSeries ARCTIS 7 2019 Edition,249.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Black
Sennheiser ???HD 450BT White,125.15,Circumaural,"[18,22]",TRUE,TRUE,Closed,White / Beige
Corsair VOID,148.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
JBL Quantum 400,64.95,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
HiFiMAN Jade II,0,Circumaural,"[7,90]",FALSE,FALSE,Open,Black / Green
AKG K701,196.44,Circumaural,"[10,39.8]",FALSE,FALSE,Open,White
Apple AirPods Max,479.99,Circumaural,,TRUE,TRUE,Closed,Black
Sennheiser HD 559,119.95,Circumaural,"[14,26]",FALSE,FALSE,Open,Black
HP HyperX CloudX Stinger Core - Xbox,25.5,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Green
AKG K240 MKII,88,Circumaural,"[15,25]",FALSE,FALSE,Semi-open,Black
Astro Logitech G A30 LIGHTSPEED (Xbox/PC),227.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White
Bose QuietComfort 35 Series II,449,Circumaural,,TRUE,TRUE,Closed,Silver
1MORE Triple Driver (Silver),57.49,In Ear,"[20,40]",TRUE,FALSE,Closed,Silver
Koss KPH7W,8.55,Supra-aural,,FALSE,FALSE,Closed,Black
MSI DS502,44.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Red
Corsair VOID,252.92,Circumaural,"[20,20]",TRUE,FALSE,Closed,White / Black
Cyber Acoustics AC-204,12.95,Supra-aural,,TRUE,FALSE,Closed,Black
Razer Kraken 7.1 V2 Mercury Edition,0,Circumaural,"[12,28]",TRUE,FALSE,Closed,White
Astro A20 Gen 2,119,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Blue
Cooler Master MH751,0,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Silver
