name,price,capacity,price_per_gb,type,form_factor,interface
Western Digital Red,84.99,1000,0.085,SSD,M.2-2280,M.2 PCIe 3.0 X4
Patriot Viper VP4300,137.71,2000,0.069,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,292.99,10000,0.029,7200,3.5,SATA 6.0 Gb/s
Sabrent Rocket,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD Blue,54.99,2000,0.027,5400,3.5,SATA 6.0 Gb/s
Toshiba X300,,5000,,7200,3.5,SATA 6.0 Gb/s
Inland Prime,114.99,2000,0.057,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM961,75,128,0.586,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA Swordfish,85.21,1000,0.085,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,,4000,,5900,3.5,SATA 6.0 Gb/s
Kingston Q500,35.43,480,0.074,SSD,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,,1000,,5900,3.5,SATA 6.0 Gb/s
Hitachi HDS723030ALA640,62.49,3000,0.021,7200,3.5,SATA 6.0 Gb/s
Western Digital Gold,149.99,4000,0.037,7200,3.5,SATA 6.0 Gb/s
Seagate FireCuda 530 w/Heatsink,56.99,500,0.114,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,,500,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS RGB,79.99,512,0.156,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,59.99,640,0.094,7200,3.5,SATA 3.0 Gb/s
Kingston NV1,39.88,250,0.16,SSD,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M461,,500,,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA SU635,26.99,480,0.056,SSD,2.5,SATA 6.0 Gb/s
ADATA Ultimate SU650,29.32,480,0.061,SSD,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,91.99,512,0.18,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate ST500VM000,23.99,500,0.048,5900,3.5,SATA 6.0 Gb/s
Toshiba X300,129.99,6000,0.022,7200,3.5,SATA 6.0 Gb/s
PNY CS2241,30.84,500,0.062,SSD,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket Q4,186.13,1000,0.186,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate ST1000LM035,33.49,1000,0.033,5400,2.5,SATA 6.0 Gb/s
Western Digital WD Blue,189.99,2000,0.095,SSD,2.5,SATA 6.0 Gb/s
Sabrent Rocket Q,,4000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda,99.55,1000,0.1,,2.5,SATA 6.0 Gb/s
Kingston SSDNow V200,69.98,128,0.547,SSD,2.5,SATA 6.0 Gb/s
Crucial BX500,,120,,SSD,2.5,SATA 6.0 Gb/s
PNY CS3140,114.99,2000,0.057,SSD,M.2-2280,M.2 PCIe 4.0 X4
Inland Gaming Performance Plus,839.99,8000,0.105,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X16,359.99,10000,0.036,7200,3.5,SATA 6.0 Gb/s
Patriot Burst Elite,45.99,960,0.048,SSD,2.5,SATA 6.0 Gb/s
Western Digital WD Blue,222.99,4000,0.056,SSD,2.5,SATA 6.0 Gb/s
Intel SSDPEDMD020T401,899.99,2000,0.45,SSD,PCIe,PCIe x4
Samsung 860 Pro,230,512,0.449,SSD,2.5,SATA 6.0 Gb/s
Kingston DC500R,1292.09,7680,0.168,SSD,2.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,59.99,500,0.12,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea Zero Z330,86.48,1000,0.086,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,,2000,,5400,3.5,SATA 6.0 Gb/s
Toshiba MG07ACA12TE,211.5,12000,0.018,7200,3.5,SATA 6.0 Gb/s
PNY CS2130,79.99,2000,0.04,SSD,M.2-2280,M.2 PCIe 3.0 X4
PNY CS2140,45.07,500,0.09,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S7,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC600,171.98,2048,0.084,SSD,2.5,SATA 6.0 Gb/s
Samsung PM981,140,1000,0.14,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX6000 Pro,31.14,256,0.122,SSD,M.2-2280,M.2 PCIe 3.0 X4
Corsair Force MP500,79,240,0.329,SSD,M.2-2280,M.2 PCIe 3.0 X4
Integral M,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SA510,30.99,250,0.124,SSD,2.5,SATA 6.0 Gb/s
Kingston HyperX Fury,,240,,SSD,2.5,SATA 6.0 Gb/s
Lexar NS100,17.98,128,0.14,SSD,2.5,SATA 6.0 Gb/s
Seagate Exos X20,325.95,18000,0.018,7200,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,325.01,16000,0.02,7200,3.5,SATA 6.0 Gb/s
Seagate Pipeline HD,,1000,,5900,3.5,SATA 3.0 Gb/s
Inland QN322,29.99,500,0.06,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,,500,,5400,3.5,SATA 3.0 Gb/s
Seagate ST3000VM002,,3000,,5900,3.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE3512GNTD,74.58,512,0.146,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 700,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate SkyHawk AI,427.45,14000,0.031,7200,3.5,SATA 6.0 Gb/s
Crucial MX300,150,275,0.545,SSD,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K3000,79.28,2000,0.04,7200,3.5,SATA 6.0 Gb/s
Toshiba P300,92.98,1000,0.093,7200,3.5,SATA 6.0 Gb/s
Seagate SkyHawk,64.4,1000,0.064,5900,3.5,SATA 6.0 Gb/s
AMD RADEON-R7SSD-480G,,480,,SSD,2.5,SATA 6.0 Gb/s
Samsung 860 Pro,215,256,0.84,SSD,2.5,SATA 6.0 Gb/s
Western Digital Black SN750,,250,,SSD,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NX-2280,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Intel Optane 905P,338.99,960,0.353,SSD,2.5,U.2
TEAMGROUP Cardea A440,52.99,1000,0.053,SSD,M.2-2280,M.2 PCIe 4.0 X4
HP EX900 Plus,19.98,256,0.078,SSD,M.2-2280,M.2 PCIe 3.0 X4
HP EX900 Plus,44.99,1000,0.045,SSD,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280P4,178.5,1000,0.179,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,173.99,6000,0.029,7200,3.5,SATA 6.0 Gb/s
Western Digital Blue,33.81,1000,0.034,5400,2.5,SATA 6.0 Gb/s
Western Digital Black SN750,320,1000,0.32,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X22,,22000,,7200,3.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PLAY,70.48,1000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Intel 710,905.95,200,4.53,SSD,2.5,SATA 3.0 Gb/s
Inland Platinum,49.99,1024,0.049,SSD,2.5,SATA 6.0 Gb/s
Hitachi 7K1000.C,97.72,500,0.195,7200,3.5,SATA 3.0 Gb/s
Seagate ST2000DM002,,2000,,7200,3.5,SATA 6.0 Gb/s
Samsung 960 Pro,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM710,32.99,500,0.066,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,199.4,6000,0.033,7200,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,122.49,1000,0.122,5900,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,239.88,4000,0.06,7200,3.5,SATA 6.0 Gb/s
Inland Premium,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,238.98,12000,0.02,7200,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,352.99,20000,0.018,7200,3.5,SATA 6.0 Gb/s
Corsair MP400,347.58,2000,0.174,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate EE25.2,19,40,0.475,5400,2.5,SATA 3.0 Gb/s
Intel DC P3608,,3200,,SSD,PCIe,PCIe x8
Western Digital WD_BLACK SN770M,239.99,2000,0.12,SSD,M.2-2230,M.2 PCIe 4.0 X4
Inland Performance Plus,309.99,4000,0.077,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Delta RGB Lite,68.98,1000,0.069,SSD,2.5,SATA 6.0 Gb/s
Corsair MP600 CORE,655.9,4000,0.164,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black,150.98,512,0.295,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,419,10000,0.042,5400,3.5,SATA 6.0 Gb/s
Western Digital Caviar Black,,1000,,7200,3.5,SATA 3.0 Gb/s
SanDisk Ultra,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM610PRO,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD80,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,52.99,500,0.106,SSD,M.2-2280,M.2 PCIe 3.0 X4
Intenso High Performance,22.16,240,0.092,SSD,2.5,SATA 6.0 Gb/s
SanDisk EXTREME PRO,204.95,1000,0.205,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 850 Evo,256,500,0.512,SSD,M.2-2280,M.2 SATA
Toshiba X300 Pro,229.99,10000,0.023,7200,3.5,SATA 6.0 Gb/s
Inland Platinum,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
HP EX900 Plus,29.99,512,0.059,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Green,20.87,500,0.042,5400,3.5,SATA 3.0 Gb/s
Samsung PM961,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Corsair Neutron NX500,,800,,SSD,PCIe,PCIe x1
SanDisk Ultra 3D,91.06,250,0.364,SSD,2.5,SATA 6.0 Gb/s
Western Digital Purple Pro,330.99,18000,0.018,7200,3.5,SATA 6.0 Gb/s
Toshiba N300 Pro,127.99,4000,0.032,7200,3.5,SATA 6.0 Gb/s
Leven JS600,71.98,2000,0.036,SSD,2.5,SATA 6.0 Gb/s
Sabrent Rocket,49.99,512,0.098,SSD,M.2-2242,M.2 PCIe 3.0 X4
Fantom Drives VENOM8,899.95,8000,0.112,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP CX1,15.99,240,0.067,SSD,2.5,SATA 6.0 Gb/s
Sabrent Rocket Q4,,4000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX300,199.79,1050,0.19,SSD,2.5,SATA 6.0 Gb/s
MyDigitalSSD Super Boot Drive,,8,,SSD,M.2-2242,M.2 SATA
Seagate NAS HDD,,2000,,5400,3.5,SATA 6.0 Gb/s
Hitachi 0S03364,,4000,,5400,3.5,SATA 6.0 Gb/s
Silicon Power US75,94.99,2000,0.047,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red SA500,79.99,1000,0.08,SSD,2.5,SATA 6.0 Gb/s
Timetec 30TT253X2,38.99,1000,0.039,SSD,2.5,SATA 6.0 Gb/s
Silicon Power US75,53.97,1000,0.054,SSD,M.2-2280,M.2 PCIe 4.0 X4
Toshiba HDKBB96,48.9,1000,0.049,5400,2.5,SATA 6.0 Gb/s
Inland Gaming Performance Plus,129.99,2000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WDS100T1XHE w/Heatsink,119.66,1000,0.12,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Lightsaber Collection FireCuda,134.99,1000,0.135,SSD,M.2-2280,M.2 PCIe 4.0 X4
Hitachi Ultrastar He10,265.45,10000,0.027,7200,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,109.99,6000,0.018,5400,3.5,SATA 6.0 Gb/s
SanDisk Ultra II,182.82,480,0.381,SSD,2.5,SATA 6.0 Gb/s
Samsung Spinpoint F2 EG,154,500,0.308,5400,3.5,SATA 3.0 Gb/s
Asus ROG RAIDR,,240,,SSD,PCIe,PCIe x4
Seagate ST4000DX001,,4000,,,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,162.99,6000,0.027,5400,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Zero Z330,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,194.99,6000,0.032,7200,3.5,SATA 6.0 Gb/s
Western Digital Purple Surveillance,141.99,6000,0.024,5400,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4.0 HTSK,79.98,1000,0.08,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Surveillance HDD,,3000,,5900,3.5,SATA 6.0 Gb/s
Inland TD510,249.99,2000,0.125,SSD,M.2-2280,M.2 PCIe 5.0 X4
Toshiba X300,209.99,10000,0.021,7200,3.5,SATA 6.0 Gb/s
Mushkin Tempest,19.98,256,0.078,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP EX2,40.99,1000,0.041,SSD,2.5,SATA 6.0 Gb/s
PNY CS3140,279.99,4000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Netac NV7000,142.99,2000,0.071,SSD,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE,124.99,1000,0.125,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SX8100,59.75,512,0.117,SSD,M.2-2280,M.2 PCIe 3.0 X4
HP EX900,32.99,120,0.275,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP GX2,21.38,256,0.084,SSD,2.5,SATA 6.0 Gb/s
ADATA Legend 960,71.84,1000,0.072,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung Spinpoint M8,,1000,,5400,2.5,SATA 3.0 Gb/s
Seagate BarraCuda 120,,500,,SSD,2.5,SATA 6.0 Gb/s
Samsung 840 Pro,,512,,SSD,2.5,SATA 6.0 Gb/s
Crucial MX200,397.77,500,0.796,SSD,M.2-2260,M.2 SATA
PNY CS1311,,240,,SSD,2.5,SATA 6.0 Gb/s
Toshiba AL13SEB600,14,600,0.023,10500,2.5,SAS 6.0 Gb/s
TEAMGROUP QX,,1000,,SSD,2.5,SATA 6.0 Gb/s
Acer FA100,27.99,512,0.055,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,54.99,1000,0.055,7200,3.5,SATA 3.0 Gb/s
Western Digital Red,91.48,3000,0.03,5400,3.5,SATA 6.0 Gb/s
Western Digital SN530,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston Fury Renegade with Heat Sink,65.98,500,0.132,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S5,125.48,256,0.49,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8100,49.75,1000,0.05,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,324.99,1920,0.169,SSD,2.5,SATA 6.0 Gb/s
Crucial MX100,,512,,SSD,2.5,SATA 6.0 Gb/s
Toshiba XG5,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Hitachi 0F18335,89.99,6000,0.015,7200,3.5,SATA 6.0 Gb/s
Toshiba P300,140.77,6000,0.023,5400,3.5,SATA 6.0 Gb/s
Seagate Lightsaber Collection FireCuda,199.99,2000,0.1,SSD,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4.0 HTSK,139.99,2000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red,159.99,2000,0.08,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,72.99,2000,0.036,5400,3.5,SATA 6.0 Gb/s
ADATA LEGEND 850 LITE,30.99,500,0.062,SSD,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,121,512,0.236,SSD,M.2-2280,M.2 PCIe 3.0 X4
Toshiba P300,75.7,2000,0.038,5400,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,233,10000,0.023,7200,3.5,SATA 6.0 Gb/s
Western Digital Red,84.99,2000,0.042,5400,3.5,SATA 6.0 Gb/s
Mushkin Source HC,899.35,8000,0.112,SSD,2.5,SATA 6.0 Gb/s
Western Digital Caviar Green,89.99,2000,0.045,5400,3.5,SATA 3.0 Gb/s
ADATA XPG GAMMIX S11 Pro,29.99,256,0.117,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X16,265,14000,0.019,7200,3.5,SATA 6.0 Gb/s
Corsair MP400,,8000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Crucial BX100,,250,,SSD,2.5,SATA 6.0 Gb/s
Samsung 850 Evo,,250,,SSD,M.2-2280,M.2 SATA
Kingston Predator,,480,,SSD,PCIe,PCIe x4
Intel 600p,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Hitachi 0F23663,878,6000,0.146,7200,3.5,SATA 6.0 Gb/s
HP S700,19.98,250,0.08,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM M371,,500,,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 970,179.99,1000,0.18,SSD,M.2-2280,M.2 PCIe 5.0 X4
Western Digital BLACK SN850 Call of Duty Edition,69.99,1000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket Q4,173.56,2000,0.087,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf,219.99,12000,0.018,7200,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO LPX,54.99,500,0.11,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP EX2,599.99,8000,0.075,SSD,2.5,SATA 6.0 Gb/s
Toshiba N300,99.93,4000,0.025,7200,3.5,SATA 6.0 Gb/s
Samsung 850 Pro,307.2,2000,0.154,SSD,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,,2000,,5400,3.5,SATA 6.0 Gb/s
Western Digital Red,62.99,1000,0.063,5400,3.5,SATA 6.0 Gb/s
Western Digital Green,65,240,0.271,SSD,M.2-2280,M.2 SATA
Kingston HyperX Fury,,120,,SSD,2.5,SATA 6.0 Gb/s
PNY XLR8 CS3030,,500,,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Create Classic DL,49.99,1000,0.05,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital RE,,4000,,7200,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,46.99,500,0.094,7200,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA PRO,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black,69.99,1000,0.07,7200,2.5,SATA 6.0 Gb/s
Western Digital Blue,26.98,500,0.054,5400,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,29.99,320,0.094,7200,3.5,SATA 3.0 Gb/s
Crucial P1,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,,512,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Micron 3400,99.99,1000,0.1,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Constellation ES.2,39,3000,0.013,7200,3.5,SAS 6.0 Gb/s
Western Digital AV-25,29.76,1000,0.03,5400,2.5,SATA 3.0 Gb/s
Timetec 35TTFP6PCIE,26.99,512,0.053,SSD,M.2-2280,M.2 PCIe 3.0 X4
Patriot P310,46.99,960,0.049,SSD,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP510,118.99,1920,0.062,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue Mobile,46.99,1000,0.047,5400,2.5,SATA 6.0 Gb/s
Integral M2,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Surveillance HDD,592,6000,0.099,5400,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,195.19,2000,0.098,5900,3.5,SATA 6.0 Gb/s
HP S700,44.99,1000,0.045,SSD,2.5,SATA 6.0 Gb/s
ADATA Swordfish,74.56,500,0.149,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,18.71,500,0.037,5400,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,90.2,4000,0.023,5900,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,137.99,4000,0.034,7200,3.5,SATA 6.0 Gb/s
SanDisk Solid State Drive,,128,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Caviar Green,,1500,,7200,3.5,SATA 6.0 Gb/s
Toshiba HDD3B04,,1000,,7200,3.5,SAS 6.0 Gb/s
ADATA XPG SX6000,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X2
Kingston KC2500,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM610,59.99,500,0.12,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.3,69,4000,0.017,7200,3.5,SAS 6.0 Gb/s
Nextorage G-Series,54.99,1000,0.055,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 960 MAX,279.99,4000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XG7000,219.99,4000,0.055,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S11 Pro,228,2000,0.114,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 510,199.08,2000,0.1,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,209.99,6000,0.035,7200,3.5,SATA 6.0 Gb/s
Intel 545s,89.99,256,0.352,SSD,2.5,SATA 6.0 Gb/s
Western Digital Caviar Green,169,3000,0.056,5400,3.5,SATA 3.0 Gb/s
Kingston A1000,,240,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Inland 1TB TD510 NVME,154.99,1000,0.155,SSD,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Blue SA510,39.99,500,0.08,SSD,M.2-2280,M.2 SATA
ADATA Legend 850,100.99,2000,0.05,SSD,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE,264.99,2000,0.132,SSD,M.2-2280,M.2 PCIe 4.0 X4
Lexar NS100,,256,,SSD,2.5,SATA 6.0 Gb/s
Mushkin Tempest,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Addlink S70,30.44,512,0.059,SSD,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
GOODRAM CL100 gen.3,139.55,960,0.145,SSD,2.5,SATA 6.0 Gb/s
SanDisk Ultra II,104.83,240,0.437,SSD,2.5,SATA 6.0 Gb/s
Intel 600p,106.01,512,0.207,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,,160,,7200,3.5,SATA 3.0 Gb/s
Western Digital Red,,4000,,5400,3.5,SATA 6.0 Gb/s
ADATA Premier SP550,,240,,SSD,2.5,SATA 6.0 Gb/s
Addlink S70,84.44,2000,0.042,SSD,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M480 PLAY,209.14,2000,0.105,SSD,M.2-2280,M.2 PCIe 4.0 X4
Acer FA100,19.98,256,0.078,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,128.97,2000,0.064,5400,3.5,SATA 6.0 Gb/s
Intenso High Performance,60.87,960,0.063,SSD,2.5,SATA 6.0 Gb/s
Netac NV7000-t,122.99,2000,0.061,SSD,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi550,35.04,512,0.068,SSD,2.5,SATA 6.0 Gb/s
ADATA XPG SPECTRIX S20G,81.48,1000,0.081,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SPECTRIX S20G,47.12,500,0.094,SSD,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MQ01ABD100,,1000,,5400,2.5,SATA 3.0 Gb/s
HP EX900,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Inland Premium,44.98,256,0.176,SSD,M.2-2280,M.2 PCIe 3.0 X4
KingSpec XF-2280,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
GOODRAM CL100 gen.3,,240,,SSD,2.5,SATA 6.0 Gb/s
Nextorage NE5N,289.99,2000,0.145,SSD,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf 125,239.99,2000,0.12,SSD,2.5,SATA 6.0 Gb/s
HP FX900 Pro,249.99,4000,0.062,SSD,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VPN110,59.99,1000,0.06,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,59.99,1000,0.06,7200,3.5,SATA 6.0 Gb/s
Intel DC P3600,1429.98,1600,0.894,SSD,PCIe,PCIe x4
Western Digital Gold,319.99,14000,0.023,7200,3.5,SATA 6.0 Gb/s
PNY XLR8 CS3030,157.98,2000,0.079,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,31.99,250,0.128,7200,3.5,SATA 6.0 Gb/s
Seagate Barracuda Green,87,2000,0.043,5900,3.5,SATA 6.0 Gb/s
Kingston SSDNow S100,,16,,SSD,2.5,SATA 3.0 Gb/s
Western Digital Purple,,1000,,5900,3.5,SATA 6.0 Gb/s
Crucial BX100,,500,,SSD,2.5,SATA 6.0 Gb/s
ADATA Premier SP550,,120,,SSD,2.5,SATA 6.0 Gb/s
Crucial MX300,,750,,SSD,2.5,SATA 6.0 Gb/s
Lexar NM610PRO,,500,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,159.44,8000,0.02,7200,3.5,SATA 6.0 Gb/s
Toshiba N300,240.99,8000,0.03,7200,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,209.99,8000,0.026,7200,3.5,SATA 6.0 Gb/s
MSI SPATIUM M470,149.99,2000,0.075,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black,224.45,6000,0.037,7200,3.5,SATA 6.0 Gb/s
Apacer AS350 PANTHER,,1000,,SSD,2.5,SATA 6.0 Gb/s
Transcend 110S,24.99,256,0.098,SSD,M.2-2280,M.2 PCIe 3.0 X4
Acer SA100,18.98,240,0.079,SSD,2.5,SATA 6.0 Gb/s
Toshiba X300,104.99,4000,0.026,7200,3.5,SATA 6.0 Gb/s
Inland 1TB Performance,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung PM893,54.6,240,0.228,SSD,2.5,SATA 6.0 Gb/s
Toshiba OCZ TR200,,240,,SSD,2.5,SATA 6.0 Gb/s
Patriot Burst,59.7,480,0.124,SSD,2.5,SATA 6.0 Gb/s
Netac NV3000,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Toshiba S300,133.99,4000,0.033,5400,3.5,SATA 6.0 Gb/s
Toshiba N300,119.99,6000,0.02,7200,3.5,SATA 6.0 Gb/s
Mushkin ELEMENT,17.98,256,0.07,SSD,2.5,SATA 6.0 Gb/s
Samsung Spinpoint M8,38,1000,0.038,5400,2.5,SATA 3.0 Gb/s
Toshiba MG08ADA800E,188.99,8000,0.024,7200,3.5,SATA 6.0 Gb/s
Intel DC P3700,1188,800,1.485,SSD,PCIe,PCIe x4
Crucial BX200,,240,,SSD,2.5,SATA 6.0 Gb/s
ADATA Ultimate SU750,,1000,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Blue SN550,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
