name,price,size,color,rpm,airflow,noise_level,pwm
Akasa Vegas TLX,,120,Black / White,,35.2,23.8,FALSE
Zalman SF140,,140,Silver / Black,"[800,1500]",61,29,TRUE
EK Furious Vardar EVO BB,,140,Black,,144,48.4,TRUE
Iceberg Thermal IceGALE,,120,Teal / White,"[500,1850]",76,,TRUE
Iceberg Thermal IceGALE,14.99,140,Gray / White,"[500,1600]",96,,TRUE
Iceberg Thermal IceGALE Xtra,,80,Teal / White,"[800,3000]",37,,TRUE
Iceberg Thermal IceGALE Xtra,,80,Gray / White,"[800,3000]",37,,TRUE
Iceberg Thermal IceGALE Xtra,,120,Teal / White,"[500,3000]",127,,TRUE
Iceberg Thermal IceGALE Xtra,,120,Gray / White,"[500,3000]",127,,TRUE
Iceberg Thermal IceGALE Xtra,,140,Teal / White,"[500,2500]",169,,TRUE
Iceberg Thermal IceGALE Xtra,,140,Gray / White,"[500,2500]",169,,TRUE
Iceberg Thermal IceGALE ARGB,,120,Teal / White,"[500,2200]",94,,TRUE
Iceberg Thermal IceGALE ARGB,,140,Teal / White,"[500,1600]",96,,TRUE
In Win Sirius Pure ASP120-1PK,,120,White,"[500,1800]",50,,TRUE
In Win Sirius Extreme ASE120P,,120,Black,"[400,1500]",54,,TRUE
In Win Sirius Extreme Pure ASE120P,,120,White,"[400,1500]",54,,TRUE
Scythe Kaze Flex ARGB,,120,Black / White,"[300,1200]",,,TRUE
Scythe Kaze Flex ARGB,,120,Black / White,"[300,1500]",,,TRUE
ID-COOLING DF-12025-ARGB-XT,,120,Black / White,"[900,2000]",56.5,,TRUE
ID-COOLING XF-12025-ARGB-SNOW,,120,White,"[700,1500]",62,,TRUE
ID-COOLING XF-12025-RGB (Single),,120,Black / White,"[700,1800]",74.5,,TRUE
ID-COOLING XF-12025-RGB-SNOW,,120,White,"[700,1800]",74.5,,TRUE
ID-COOLING XF-12025-RGB-TRIO-SNOW 3-Pack,,120,White,"[700,1800]",74.5,,TRUE
ID-COOLING NO-12025-XT,,120,Black / White,"[700,1800]",76.16,,TRUE
ID-COOLING WF-12025,,120,Black / White,"[700,1800]",74.5,,TRUE
ID-COOLING WF-14025,,140,Black / White,"[800,1600]",76.8,,TRUE
ID-COOLING FL-12025K,,120,Black,,45,21,FALSE
ID-COOLING NO-9225-SD,,92,Black,,28.5,20,FALSE
ID-COOLING WF-12025-SD-W,,120,Black / White,,60,27.5,FALSE
ID-COOLING WF-12025-XT-B,,120,Black,"[600,2200]",71.2,,TRUE
ID-COOLING WF-12025-XT-R,,120,Black,"[600,2200]",71.2,,TRUE
ID-COOLING SF-12025-B,,120,Black,"[700,1500]",62,,TRUE
ID-COOLING SF-12025-G,,120,Black,"[700,1500]",62,,TRUE
ID-COOLING SF-12025-R,,120,Black,"[700,1500]",62,,TRUE
ID-COOLING SF-12025-W,,120,White,"[700,1500]",62,,TRUE
Scythe Wonder Snail 120,,120,Black,"[350,1200]",,,TRUE
Scythe Wonder Snail 120,,120,Black,"[350,1800]",,,TRUE
Azza Hurricane,,120,Black / White,"[1000,1800]",56.12,29.8,TRUE
Azza Prisma Digital,,120,Black / White,"[800,1600]",52.1,31,TRUE
Thermalright TL-R12,,120,Black / Gray,"[400,1500]",,,TRUE
Thermalright TL-R12,,120,Black,"[400,1500]",,,TRUE
Thermalright TL-R12,,120,White,"[400,1500]",,,TRUE
Scythe Kaze Flex II Slim,,120,Black,"[300,1200]",,,TRUE
Iceberg Thermal IceGALE ARGB 3-Pack,,120,Teal / White,"[500,2200]",94,,TRUE
Iceberg Thermal IceGALE ARGB 2-Pack,,140,Teal / White,"[500,1600]",96,,TRUE
Alpenföhn JetStream Slim,,120,Black,"[400,1800]",52.619,24.7,TRUE
Gelid Solutions Silent 12,41.28,120,Black,,40.3,20.2,FALSE
Gelid Solutions Gale,,120,Black,"[500,3500]",110,45,TRUE
Geometric Future Squama 2501 3-Pack,39.9,120,White,,80.81,34.2,TRUE
